transaction_id,customer_id,persona,date,hour,branch,channel,items,num_items,amount_bhd,payment_method,loyalty_member
TXN120758,CUST0071,Daily Regular,2023-07-14,14,Riffa,Dine-in,Americano + Halloumi Sandwich,2,4.6,Apple Pay,True
TXN107325,CUST0025,Daily Regular,2023-07-14,11,Riffa,Takeaway,Cortado,1,1.6,Apple Pay,True
TXN138067,CUST0161,Frequent,2023-07-14,7,Adliya,Dine-in,Flat White,1,1.9,Card,True
TXN125028,CUST0087,Daily Regular,2023-07-14,20,Adliya,Takeaway,Cold Brew,1,2.2,Card,True
TXN150914,CUST0342,Weekend Visitor,2023-07-14,13,Muharraq,Talabat,Cortado + Spanish Latte + Iced Latte,3,5.7,Cash,False
TXN116915,CUST0057,Daily Regular,2023-07-14,10,Muharraq,Dine-in,Espresso,1,1.2,Benefit Pay,True
TXN143068,CUST0225,Frequent,2023-07-14,9,Muharraq,Dine-in,Cold Brew,1,2.2,Apple Pay,True
TXN132848,CUST0114,Daily Regular,2023-07-15,9,Seef,Takeaway,Iced Latte + Date Cake,2,4.2,Benefit Pay,True
TXN125019,CUST0087,Daily Regular,2023-07-15,15,Adliya,Dine-in,Matcha Latte,1,2.5,Apple Pay,True
TXN132734,CUST0114,Daily Regular,2023-07-15,17,Seef,Talabat,Espresso,1,1.2,Benefit Pay,True
TXN143001,CUST0224,Frequent,2023-07-15,9,Riffa,Jahez,Cortado + Cold Brew,2,3.8,Apple Pay,True
TXN116956,CUST0057,Daily Regular,2023-07-15,9,Riffa,Takeaway,Latte,1,1.8,Benefit Pay,True
TXN139749,CUST0183,Frequent,2023-07-15,14,Seef,Jahez,Cappuccino,1,1.8,Card,True
TXN139762,CUST0183,Frequent,2023-07-15,20,Seef,Takeaway,Espresso + Cold Brew,2,3.4,Benefit Pay,True
TXN107252,CUST0025,Daily Regular,2023-07-16,14,Muharraq,Jahez,Flat White,1,1.9,Card,True
TXN118917,CUST0064,Daily Regular,2023-07-16,12,Seef,Takeaway,Matcha Latte,1,2.5,Benefit Pay,True
TXN143006,CUST0224,Frequent,2023-07-16,16,Riffa,Dine-in,Spanish Latte + Cold Brew,2,4.3,Apple Pay,True
TXN137931,CUST0159,Frequent,2023-07-16,14,Seef,Dine-in,Matcha Latte + Flat White + Avocado Toast,3,7.9,Card,True
TXN125111,CUST0087,Daily Regular,2023-07-16,14,Seef,Talabat,Flat White,1,1.9,Card,True
TXN125300,CUST0087,Daily Regular,2023-07-17,9,Adliya,Takeaway,Matcha Latte + Halloumi Sandwich,2,5.7,Cash,True
TXN156563,CUST0561,Occasional,2023-07-17,8,Muharraq,Dine-in,Iced Latte,1,2.0,Benefit Pay,False
TXN118466,CUST0063,Daily Regular,2023-07-17,10,Muharraq,Talabat,Matcha Latte,1,2.5,Benefit Pay,True
TXN143675,CUST0231,Frequent,2023-07-17,18,Seef,Takeaway,Latte + Croissant,2,3.3,Apple Pay,False
TXN124164,CUST0084,Daily Regular,2023-07-17,16,Seef,Dine-in,Latte + Flat White,2,3.7,Card,True
TXN118861,CUST0064,Daily Regular,2023-07-17,13,Seef,Talabat,Espresso,1,1.2,Benefit Pay,True
TXN139830,CUST0183,Frequent,2023-07-17,7,Seef,Jahez,Spanish Latte + Espresso + Cold Brew,3,5.5,Apple Pay,True
TXN119053,CUST0064,Daily Regular,2023-07-17,8,Seef,Takeaway,Matcha Latte,1,2.5,Benefit Pay,True
TXN125209,CUST0087,Daily Regular,2023-07-17,14,Adliya,Takeaway,Iced Latte + Avocado Toast,2,5.5,Benefit Pay,True
TXN101418,CUST0005,Daily Regular,2023-07-17,16,Adliya,Jahez,Americano,1,1.4,Benefit Pay,True
TXN138070,CUST0161,Frequent,2023-07-17,11,Adliya,Takeaway,Iced Latte + Karak Tea + Spanish Latte,3,4.9,Benefit Pay,True
TXN137264,CUST0150,Frequent,2023-07-17,8,Riffa,Takeaway,Iced Latte + Espresso,2,3.2,Card,True
TXN135638,CUST0131,Frequent,2023-07-18,13,Muharraq,Takeaway,Matcha Latte + Date Cake,2,4.7,Card,True
TXN125270,CUST0087,Daily Regular,2023-07-18,10,Adliya,Takeaway,Spanish Latte + Matcha Latte,2,4.6,Benefit Pay,True
TXN143034,CUST0225,Frequent,2023-07-18,21,Muharraq,Takeaway,Spanish Latte,1,2.1,Benefit Pay,True
TXN143662,CUST0231,Frequent,2023-07-18,9,Seef,Jahez,Latte + Espresso,2,3.0,Benefit Pay,False
TXN143332,CUST0227,Frequent,2023-07-18,11,Muharraq,Takeaway,Matcha Latte,1,2.5,Benefit Pay,True
TXN118514,CUST0063,Daily Regular,2023-07-18,13,Muharraq,Jahez,Spanish Latte + Americano,2,3.5,Apple Pay,True
TXN116921,CUST0057,Daily Regular,2023-07-18,19,Muharraq,Takeaway,Cappuccino + Americano,2,3.2,Benefit Pay,True
TXN156407,CUST0541,Occasional,2023-07-19,16,Adliya,Dine-in,Matcha Latte + Cappuccino + Avocado Toast,3,7.8,Benefit Pay,False
TXN143530,CUST0230,Frequent,2023-07-19,21,Seef,Talabat,Latte,1,1.8,Benefit Pay,True
TXN141812,CUST0209,Frequent,2023-07-19,9,Riffa,Dine-in,Cappuccino + Cold Brew,2,4.0,Cash,False
TXN126947,CUST0094,Daily Regular,2023-07-19,9,Riffa,Dine-in,Iced Latte,1,2.0,Apple Pay,True
TXN120889,CUST0071,Daily Regular,2023-07-19,11,Riffa,Dine-in,Iced Latte + Flat White,2,3.9,Apple Pay,True
TXN120811,CUST0071,Daily Regular,2023-07-19,7,Riffa,Dine-in,Flat White + Spanish Latte,2,4.0,Benefit Pay,True
TXN132758,CUST0114,Daily Regular,2023-07-20,14,Seef,Dine-in,Cappuccino + Cortado,2,3.4,Benefit Pay,True
TXN118705,CUST0063,Daily Regular,2023-07-20,14,Muharraq,Dine-in,Cortado + Halloumi Sandwich,2,4.8,Benefit Pay,True
TXN118790,CUST0064,Daily Regular,2023-07-20,15,Riffa,Dine-in,Espresso,1,1.2,Benefit Pay,True
TXN143099,CUST0225,Frequent,2023-07-20,9,Riffa,Dine-in,Americano + Cold Brew,2,3.6,Apple Pay,True
TXN124996,CUST0087,Daily Regular,2023-07-20,17,Adliya,Talabat,Cappuccino,1,1.8,Apple Pay,True
TXN125158,CUST0087,Daily Regular,2023-07-20,7,Adliya,Dine-in,Espresso,1,1.2,Cash,True
TXN118439,CUST0063,Daily Regular,2023-07-20,12,Muharraq,Dine-in,Cold Brew + Iced Latte,2,4.2,Card,True
TXN101405,CUST0005,Daily Regular,2023-07-20,9,Adliya,Talabat,Cold Brew,1,2.2,Benefit Pay,True
TXN101289,CUST0005,Daily Regular,2023-07-20,11,Adliya,Dine-in,Espresso,1,1.2,Benefit Pay,True
TXN101259,CUST0005,Daily Regular,2023-07-20,19,Adliya,Talabat,Flat White,1,1.9,Benefit Pay,True
TXN119038,CUST0064,Daily Regular,2023-07-20,12,Seef,Jahez,Flat White,1,1.9,Benefit Pay,True
TXN154234,CUST0443,Weekend Visitor,2023-07-20,18,Seef,Dine-in,Iced Latte + Cheesecake + Cheesecake + Cold Brew,4,9.8,Benefit Pay,False
TXN101241,CUST0005,Daily Regular,2023-07-20,8,Adliya,Takeaway,Americano + Espresso,2,2.6,Card,True
TXN124243,CUST0084,Daily Regular,2023-07-21,7,Muharraq,Dine-in,Cortado + Matcha Latte,2,4.1,Cash,True
TXN143311,CUST0227,Frequent,2023-07-21,14,Riffa,Dine-in,Spanish Latte + Iced Latte,2,4.1,Card,True
TXN118366,CUST0063,Daily Regular,2023-07-21,15,Riffa,Dine-in,Cortado,1,1.6,Card,True
TXN124254,CUST0084,Daily Regular,2023-07-21,7,Riffa,Dine-in,Cortado + Karak Tea,2,2.4,Benefit Pay,True
TXN137925,CUST0159,Frequent,2023-07-21,8,Seef,Takeaway,Flat White + Matcha Latte,2,4.4,Benefit Pay,True
TXN141798,CUST0209,Frequent,2023-07-21,14,Riffa,Dine-in,Cortado + Americano,2,3.0,Benefit Pay,False
TXN133101,CUST0114,Daily Regular,2023-07-21,8,Seef,Dine-in,Cappuccino,1,1.8,Card,True
TXN141795,CUST0209,Frequent,2023-07-21,7,Adliya,Takeaway,Cold Brew,1,2.2,Cash,False
TXN132853,CUST0114,Daily Regular,2023-07-21,9,Muharraq,Dine-in,Spanish Latte,1,2.1,Card,True
TXN128694,CUST0100,Daily Regular,2023-07-22,7,Riffa,Dine-in,Cappuccino,1,1.8,Cash,True
TXN139834,CUST0183,Frequent,2023-07-22,9,Riffa,Dine-in,Espresso + Cold Brew + Espresso,3,4.6,Benefit Pay,True
TXN128677,CUST0100,Daily Regular,2023-07-22,10,Riffa,Takeaway,Cortado + Iced Latte,2,3.6,Card,True
TXN132947,CUST0114,Daily Regular,2023-07-22,13,Muharraq,Talabat,Latte + Date Cake,2,4.0,Benefit Pay,True
TXN143064,CUST0225,Frequent,2023-07-22,7,Riffa,Takeaway,Spanish Latte + Spanish Latte + Croissant,3,5.7,Benefit Pay,True
TXN123086,CUST0079,Daily Regular,2023-07-22,11,Seef,Talabat,Cortado + Americano,2,3.0,Cash,True
TXN135670,CUST0131,Frequent,2023-07-22,12,Muharraq,Takeaway,Iced Latte,1,2.0,Card,True
TXN133005,CUST0114,Daily Regular,2023-07-22,10,Seef,Dine-in,Matcha Latte + Avocado Toast,2,6.0,Card,True
TXN107293,CUST0025,Daily Regular,2023-07-23,11,Muharraq,Takeaway,Cappuccino + Halloumi Sandwich,2,5.0,Apple Pay,True
TXN156410,CUST0541,Occasional,2023-07-23,8,Muharraq,Takeaway,Iced Latte,1,2.0,Card,False
TXN101209,CUST0005,Daily Regular,2023-07-23,8,Adliya,Dine-in,Flat White,1,1.9,Card,True
TXN125329,CUST0087,Daily Regular,2023-07-23,8,Adliya,Takeaway,Latte,1,1.8,Apple Pay,True
TXN101443,CUST0005,Daily Regular,2023-07-23,8,Adliya,Dine-in,Spanish Latte + Americano,2,3.5,Benefit Pay,True
TXN131352,CUST0109,Daily Regular,2023-07-23,15,Muharraq,Takeaway,Latte,1,1.8,Apple Pay,True
TXN111801,CUST0039,Daily Regular,2023-07-23,17,Adliya,Takeaway,Cortado,1,1.6,Benefit Pay,False
TXN128702,CUST0100,Daily Regular,2023-07-23,10,Riffa,Dine-in,Americano + Halloumi Sandwich,2,4.6,Benefit Pay,True
TXN139760,CUST0183,Frequent,2023-07-23,7,Seef,Dine-in,Espresso,1,1.2,Benefit Pay,True
TXN156969,CUST0618,Occasional,2023-07-23,15,Adliya,Talabat,Cold Brew + Latte + Cortado,3,5.6,Benefit Pay,False
TXN128602,CUST0100,Daily Regular,2023-07-23,9,Riffa,Talabat,Matcha Latte + Avocado Toast,2,6.0,Cash,True
TXN131124,CUST0109,Daily Regular,2023-07-24,17,Muharraq,Dine-in,Cappuccino,1,1.8,Card,True
TXN115546,CUST0051,Daily Regular,2023-07-24,11,Riffa,Dine-in,Matcha Latte,1,2.5,Card,False
TXN127112,CUST0094,Daily Regular,2023-07-24,15,Seef,Dine-in,Cappuccino + Matcha Latte,2,4.3,Card,True
TXN143295,CUST0227,Frequent,2023-07-24,9,Seef,Takeaway,Matcha Latte + Espresso,2,3.7,Cash,True
TXN118940,CUST0064,Daily Regular,2023-07-24,16,Muharraq,Dine-in,Americano,1,1.4,Apple Pay,True
TXN101278,CUST0005,Daily Regular,2023-07-24,14,Adliya,Takeaway,Matcha Latte + Cappuccino,2,4.3,Benefit Pay,True
TXN135616,CUST0131,Frequent,2023-07-24,10,Muharraq,Talabat,Cappuccino,1,1.8,Apple Pay,True
TXN128620,CUST0100,Daily Regular,2023-07-24,16,Muharraq,Dine-in,Latte + Cold Brew,2,4.0,Apple Pay,True
TXN115451,CUST0051,Daily Regular,2023-07-25,12,Riffa,Talabat,Americano + Spanish Latte,2,3.5,Card,False
TXN107225,CUST0025,Daily Regular,2023-07-25,12,Adliya,Dine-in,Matcha Latte + Cortado,2,4.1,Benefit Pay,True
TXN115537,CUST0051,Daily Regular,2023-07-25,12,Riffa,Dine-in,Cappuccino + Cold Brew,2,4.0,Benefit Pay,False
TXN143026,CUST0224,Frequent,2023-07-25,8,Riffa,Dine-in,Iced Latte + Date Cake,2,4.2,Cash,True
TXN132882,CUST0114,Daily Regular,2023-07-25,18,Seef,Dine-in,Iced Latte + Karak Tea,2,2.8,Cash,True
TXN101258,CUST0005,Daily Regular,2023-07-25,8,Riffa,Dine-in,Cortado + Americano,2,3.0,Card,True
TXN128601,CUST0100,Daily Regular,2023-07-26,13,Muharraq,Dine-in,Flat White,1,1.9,Benefit Pay,True
TXN116825,CUST0057,Daily Regular,2023-07-26,8,Riffa,Dine-in,Americano + Karak Tea,2,2.2,Benefit Pay,True
TXN123029,CUST0079,Daily Regular,2023-07-26,14,Seef,Dine-in,Cold Brew,1,2.2,Benefit Pay,True
TXN105120,CUST0017,Daily Regular,2023-07-26,11,Riffa,Dine-in,Cold Brew,1,2.2,Card,False
TXN119017,CUST0064,Daily Regular,2023-07-26,11,Seef,Takeaway,Cold Brew,1,2.2,Apple Pay,True
TXN128460,CUST0100,Daily Regular,2023-07-26,12,Adliya,Takeaway,Matcha Latte + Latte,2,4.3,Apple Pay,True
TXN104879,CUST0017,Daily Regular,2023-07-26,12,Riffa,Takeaway,Spanish Latte + Cold Brew,2,4.3,Card,False
TXN118600,CUST0063,Daily Regular,2023-07-26,13,Seef,Talabat,Espresso + Matcha Latte,2,3.7,Benefit Pay,True
TXN118531,CUST0063,Daily Regular,2023-07-26,10,Muharraq,Dine-in,Cold Brew + Spanish Latte,2,4.3,Card,True
TXN128562,CUST0100,Daily Regular,2023-07-26,10,Riffa,Takeaway,Cold Brew + Americano,2,3.6,Benefit Pay,True
TXN132996,CUST0114,Daily Regular,2023-07-26,18,Seef,Dine-in,Iced Latte,1,2.0,Benefit Pay,True
TXN116868,CUST0057,Daily Regular,2023-07-26,15,Muharraq,Takeaway,Cappuccino + Karak Tea,2,2.6,Apple Pay,True
TXN118921,CUST0064,Daily Regular,2023-07-27,7,Seef,Takeaway,Matcha Latte,1,2.5,Benefit Pay,True
TXN141774,CUST0209,Frequent,2023-07-27,9,Adliya,Takeaway,Americano + Spanish Latte,2,3.5,Card,False
TXN111798,CUST0039,Daily Regular,2023-07-27,18,Adliya,Jahez,Flat White + Matcha Latte,2,4.4,Card,False
TXN143263,CUST0227,Frequent,2023-07-27,9,Muharraq,Dine-in,Iced Latte,1,2.0,Apple Pay,True
TXN128654,CUST0100,Daily Regular,2023-07-27,18,Riffa,Dine-in,Cappuccino,1,1.8,Benefit Pay,True
TXN137924,CUST0159,Frequent,2023-07-27,11,Riffa,Jahez,Espresso + Date Cake + Espresso,3,4.6,Apple Pay,True
TXN118639,CUST0063,Daily Regular,2023-07-27,11,Muharraq,Takeaway,Iced Latte,1,2.0,Benefit Pay,True
TXN127040,CUST0094,Daily Regular,2023-07-27,8,Riffa,Jahez,Americano,1,1.4,Benefit Pay,True
TXN125334,CUST0087,Daily Regular,2023-07-27,7,Adliya,Dine-in,Matcha Latte + Cappuccino,2,4.3,Benefit Pay,True
TXN154241,CUST0443,Weekend Visitor,2023-07-27,13,Seef,Takeaway,Flat White + Iced Latte + Cortado + Cold Brew,4,7.7,Apple Pay,False
TXN125258,CUST0087,Daily Regular,2023-07-27,8,Adliya,Talabat,Americano,1,1.4,Apple Pay,True
TXN118928,CUST0064,Daily Regular,2023-07-27,19,Seef,Dine-in,Spanish Latte + Iced Latte,2,4.1,Benefit Pay,True
TXN128612,CUST0100,Daily Regular,2023-07-27,17,Riffa,Talabat,Flat White + Iced Latte,2,3.9,Card,True
TXN115496,CUST0051,Daily Regular,2023-07-28,13,Seef,Dine-in,Latte,1,1.8,Card,False
TXN138078,CUST0161,Frequent,2023-07-28,16,Adliya,Dine-in,Espresso + Matcha Latte,2,3.7,Card,True
TXN111765,CUST0039,Daily Regular,2023-07-28,9,Adliya,Dine-in,Latte + Cold Brew,2,4.0,Benefit Pay,False
TXN115436,CUST0051,Daily Regular,2023-07-28,12,Adliya,Takeaway,Flat White,1,1.9,Card,False
TXN131398,CUST0109,Daily Regular,2023-07-28,15,Muharraq,Dine-in,Flat White + Matcha Latte,2,4.4,Benefit Pay,True
TXN143638,CUST0231,Frequent,2023-07-28,9,Seef,Jahez,Cold Brew + Latte + Americano,3,5.4,Card,False
TXN123175,CUST0079,Daily Regular,2023-07-28,9,Seef,Talabat,Latte,1,1.8,Apple Pay,True
TXN117519,CUST0060,Daily Regular,2023-07-28,20,Adliya,Takeaway,Cortado + Cappuccino,2,3.4,Card,True
TXN135685,CUST0131,Frequent,2023-07-28,8,Muharraq,Dine-in,Spanish Latte,1,2.1,Benefit Pay,True
TXN117678,CUST0060,Daily Regular,2023-07-29,10,Adliya,Dine-in,Latte,1,1.8,Apple Pay,True
TXN118561,CUST0063,Daily Regular,2023-07-29,18,Muharraq,Takeaway,Spanish Latte,1,2.1,Card,True
TXN107340,CUST0025,Daily Regular,2023-07-29,9,Muharraq,Takeaway,Latte,1,1.8,Card,True
TXN155201,CUST0471,Weekend Visitor,2023-07-29,15,Seef,Talabat,Americano + Karak Tea,2,2.2,Apple Pay,False
TXN143652,CUST0231,Frequent,2023-07-29,16,Seef,Jahez,Matcha Latte + Latte + Cold Brew,3,6.5,Benefit Pay,False
TXN116929,CUST0057,Daily Regular,2023-07-29,16,Muharraq,Talabat,Espresso + Halloumi Sandwich,2,4.4,Benefit Pay,True
TXN118411,CUST0063,Daily Regular,2023-07-29,17,Muharraq,Dine-in,Cold Brew,1,2.2,Benefit Pay,True
TXN125326,CUST0087,Daily Regular,2023-07-29,8,Adliya,Takeaway,Flat White,1,1.9,Apple Pay,True
TXN125257,CUST0087,Daily Regular,2023-07-29,17,Adliya,Dine-in,Espresso + Karak Tea,2,2.0,Benefit Pay,True
TXN125204,CUST0087,Daily Regular,2023-07-29,15,Adliya,Takeaway,Spanish Latte,1,2.1,Apple Pay,True
TXN107370,CUST0025,Daily Regular,2023-07-29,18,Muharraq,Dine-in,Cappuccino,1,1.8,Cash,True
TXN115507,CUST0051,Daily Regular,2023-07-29,9,Riffa,Jahez,Spanish Latte,1,2.1,Card,False
TXN118460,CUST0063,Daily Regular,2023-07-30,14,Muharraq,Dine-in,Iced Latte + Cold Brew,2,4.2,Benefit Pay,True
TXN111794,CUST0039,Daily Regular,2023-07-30,16,Adliya,Dine-in,Cortado,1,1.6,Cash,False
TXN118487,CUST0063,Daily Regular,2023-07-30,19,Muharraq,Dine-in,Latte + Latte,2,3.6,Card,True
TXN101204,CUST0005,Daily Regular,2023-07-30,8,Adliya,Takeaway,Cold Brew + Croissant,2,3.7,Benefit Pay,True
TXN137299,CUST0150,Frequent,2023-07-30,14,Adliya,Takeaway,Cortado + Matcha Latte + Halloumi Sandwich,3,7.3,Benefit Pay,True
TXN105004,CUST0017,Daily Regular,2023-07-30,17,Seef,Dine-in,Iced Latte,1,2.0,Apple Pay,False
TXN111689,CUST0039,Daily Regular,2023-07-30,18,Adliya,Takeaway,Americano,1,1.4,Benefit Pay,False
TXN133110,CUST0114,Daily Regular,2023-07-30,8,Seef,Takeaway,Cortado + Cappuccino,2,3.4,Benefit Pay,True
TXN131272,CUST0109,Daily Regular,2023-07-30,13,Muharraq,Dine-in,Matcha Latte + Cold Brew,2,4.7,Card,True
TXN101288,CUST0005,Daily Regular,2023-07-30,11,Adliya,Talabat,Flat White,1,1.9,Apple Pay,True
TXN111918,CUST0039,Daily Regular,2023-07-30,17,Adliya,Dine-in,Americano,1,1.4,Benefit Pay,False
TXN111705,CUST0039,Daily Regular,2023-07-30,7,Adliya,Dine-in,Latte,1,1.8,Benefit Pay,False
TXN117561,CUST0060,Daily Regular,2023-07-30,8,Riffa,Dine-in,Spanish Latte,1,2.1,Card,True
TXN131292,CUST0109,Daily Regular,2023-07-31,12,Muharraq,Takeaway,Cappuccino + Date Cake,2,4.0,Apple Pay,True
TXN132824,CUST0114,Daily Regular,2023-07-31,13,Seef,Dine-in,Cold Brew + Flat White,2,4.1,Benefit Pay,True
TXN101268,CUST0005,Daily Regular,2023-07-31,18,Adliya,Dine-in,Flat White,1,1.9,Apple Pay,True
TXN124135,CUST0084,Daily Regular,2023-07-31,18,Muharraq,Jahez,Espresso + Cheesecake,2,4.0,Card,True
TXN143632,CUST0231,Frequent,2023-07-31,9,Seef,Takeaway,Spanish Latte,1,2.1,Benefit Pay,False
TXN118412,CUST0063,Daily Regular,2023-07-31,15,Seef,Talabat,Latte,1,1.8,Apple Pay,True
TXN120765,CUST0071,Daily Regular,2023-07-31,17,Riffa,Dine-in,Spanish Latte,1,2.1,Benefit Pay,True
TXN111772,CUST0039,Daily Regular,2023-07-31,16,Adliya,Takeaway,Americano + Americano,2,2.8,Benefit Pay,False
TXN115437,CUST0051,Daily Regular,2023-07-31,9,Riffa,Takeaway,Spanish Latte,1,2.1,Benefit Pay,False
TXN131239,CUST0109,Daily Regular,2023-07-31,8,Muharraq,Dine-in,Flat White,1,1.9,Benefit Pay,True
TXN143304,CUST0227,Frequent,2023-08-01,16,Adliya,Dine-in,Latte + Cold Brew + Espresso,3,5.2,Apple Pay,True
TXN132761,CUST0114,Daily Regular,2023-08-01,7,Seef,Dine-in,Latte + Avocado Toast,2,5.3,Apple Pay,True
TXN111635,CUST0039,Daily Regular,2023-08-01,8,Seef,Takeaway,Americano,1,1.4,Card,False
TXN116939,CUST0057,Daily Regular,2023-08-01,19,Muharraq,Jahez,Flat White,1,1.9,Benefit Pay,True
TXN111961,CUST0039,Daily Regular,2023-08-01,7,Adliya,Dine-in,Flat White + Iced Latte,2,3.9,Cash,False
TXN156569,CUST0561,Occasional,2023-08-01,11,Adliya,Dine-in,Latte,1,1.8,Card,False
TXN107373,CUST0025,Daily Regular,2023-08-01,10,Adliya,Talabat,Cappuccino + Date Cake,2,4.0,Benefit Pay,True
TXN123172,CUST0079,Daily Regular,2023-08-01,8,Seef,Dine-in,Latte + Halloumi Sandwich,2,5.0,Apple Pay,True
TXN155173,CUST0471,Weekend Visitor,2023-08-01,17,Seef,Takeaway,Espresso + Croissant + Matcha Latte,3,5.2,Apple Pay,False
TXN143523,CUST0230,Frequent,2023-08-01,19,Seef,Talabat,Flat White + Croissant + Karak Tea,3,4.2,Apple Pay,True
TXN131098,CUST0109,Daily Regular,2023-08-01,12,Muharraq,Dine-in,Latte + Matcha Latte,2,4.3,Card,True
TXN118859,CUST0064,Daily Regular,2023-08-01,10,Seef,Takeaway,Cortado,1,1.6,Benefit Pay,True
TXN133109,CUST0114,Daily Regular,2023-08-01,8,Seef,Takeaway,Spanish Latte,1,2.1,Benefit Pay,True
TXN131315,CUST0109,Daily Regular,2023-08-01,17,Muharraq,Dine-in,Cortado,1,1.6,Cash,True
TXN117685,CUST0060,Daily Regular,2023-08-02,12,Adliya,Dine-in,Cortado,1,1.6,Benefit Pay,True
TXN117695,CUST0060,Daily Regular,2023-08-02,11,Adliya,Jahez,Espresso + Cortado,2,2.8,Card,True
TXN116829,CUST0057,Daily Regular,2023-08-02,10,Muharraq,Talabat,Iced Latte + Espresso,2,3.2,Apple Pay,True
TXN115573,CUST0051,Daily Regular,2023-08-02,16,Riffa,Dine-in,Espresso + Iced Latte,2,3.2,Apple Pay,False
TXN132886,CUST0114,Daily Regular,2023-08-02,20,Seef,Dine-in,Cappuccino + Matcha Latte,2,4.3,Benefit Pay,True
TXN117813,CUST0060,Daily Regular,2023-08-02,7,Adliya,Dine-in,Cortado,1,1.6,Benefit Pay,True
TXN118525,CUST0063,Daily Regular,2023-08-02,7,Muharraq,Takeaway,Latte + Spanish Latte,2,3.9,Apple Pay,True
TXN127007,CUST0094,Daily Regular,2023-08-02,12,Muharraq,Takeaway,Iced Latte,1,2.0,Cash,True
TXN107328,CUST0025,Daily Regular,2023-08-02,8,Muharraq,Dine-in,Cappuccino,1,1.8,Cash,True
TXN143791,CUST0232,Frequent,2023-08-02,10,Riffa,Talabat,Flat White + Halloumi Sandwich,2,5.1,Apple Pay,True
TXN144538,CUST0242,Frequent,2023-08-02,7,Seef,Talabat,Matcha Latte + Latte,2,4.3,Apple Pay,True
TXN143038,CUST0225,Frequent,2023-08-02,16,Muharraq,Dine-in,Espresso + Espresso + Cold Brew,3,4.6,Cash,True
TXN150913,CUST0342,Weekend Visitor,2023-08-02,8,Muharraq,Takeaway,Flat White + Espresso + Iced Latte,3,5.1,Benefit Pay,False
TXN128701,CUST0100,Daily Regular,2023-08-03,17,Riffa,Dine-in,Cold Brew,1,2.2,Apple Pay,True
TXN136388,CUST0140,Frequent,2023-08-03,14,Seef,Dine-in,Latte + Cold Brew,2,4.0,Apple Pay,True
TXN136386,CUST0140,Frequent,2023-08-03,11,Adliya,Takeaway,Cortado,1,1.6,Benefit Pay,True
TXN143661,CUST0231,Frequent,2023-08-03,16,Muharraq,Dine-in,Cortado,1,1.6,Apple Pay,False
TXN116936,CUST0057,Daily Regular,2023-08-03,8,Muharraq,Dine-in,Cortado,1,1.6,Apple Pay,True
TXN127167,CUST0094,Daily Regular,2023-08-03,18,Riffa,Dine-in,Espresso,1,1.2,Cash,True
TXN118839,CUST0064,Daily Regular,2023-08-03,7,Seef,Dine-in,Latte,1,1.8,Cash,True
TXN138077,CUST0161,Frequent,2023-08-03,12,Adliya,Talabat,Espresso + Halloumi Sandwich,2,4.4,Card,True
